Number,Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Recovered,Active_Cases,Critical_Cases,Total_Cases(1mil pop),Total_Deaths(1mil pop),Total_Tests,Total_Tests(1mil pop),Population(pop)
86,Moldova,620253,,12112,,504142,103999,49,"154,554","3,018","3,216,305","801,437","4,013,171"
87,Estonia,617917,,3001,,524990,89926,3,"467,443","2,270","3,703,808","2,801,861","1,321,910"
88,Venezuela,552593,,5856,,546479,258,31,"18,881",200,"3,359,014","114,771","29,266,991"
89,Egypt,515970,,24613,,442182,49175,122,"4,860",232,"3,693,367","34,792","106,156,692"
90,Libya,507250,,6437,,500807,6,,"72,045",914,"2,483,848","352,782","7,040,745"
91,Qatar,506323,,690,,504400,1233,44,"169,912",232,"4,065,369","1,364,257","2,979,915"
92,Ethiopia,500817,,7574,,487936,5307,1,"4,145",63,"5,538,219","45,841","120,812,698"
93,Réunion,486588,,921,,418572,67095,10,"535,854","1,014","1,603,660","1,766,027","908,061"
95,Armenia,448980,,8746,,435162,5072,,"151,072","2,943","3,242,901","1,091,164","2,971,966"
96,Bosnia and Herzegovina,402804,,16336,,379084,7384,,"123,966","5,028","1,884,721","580,036","3,249,317"
